X,ieee802154Narrow.anchor[0].appl/Number of packets from this anchor,ieee802154Narrow.anchor[1].appl/Number of packets from this anchor,ieee802154Narrow.anchor[2].appl/Number of packets from this anchor,ieee802154Narrow.anchor[3].appl/Number of packets from this anchor,ieee802154Narrow.anchor[4].appl/Number of packets from this anchor,ieee802154Narrow.anchor[5].appl/Number of packets from this anchor,ieee802154Narrow.anchor[6].appl/Number of packets from this anchor,ieee802154Narrow.anchor[7].appl/Number of packets from this anchor,ieee802154Narrow.anchor[8].appl/Number of packets from this anchor,ieee802154Narrow.anchor[9].appl/Number of packets from this anchor,ieee802154Narrow.anchor[10].appl/Number of packets from this anchor,ieee802154Narrow.anchor[11].appl/Number of packets from this anchor,ieee802154Narrow.anchor[12].appl/Number of packets from this anchor,ieee802154Narrow.anchor[13].appl/Number of packets from this anchor,ieee802154Narrow.anchor[14].appl/Number of packets from this anchor,ieee802154Narrow.anchor[15].appl/Number of packets from this anchor,ieee802154Narrow.anchor[16].appl/Number of packets from this anchor,ieee802154Narrow.anchor[17].appl/Number of packets from this anchor,ieee802154Narrow.anchor[18].appl/Number of packets from this anchor,ieee802154Narrow.anchor[19].appl/Number of packets from this anchor,ieee802154Narrow.anchor[20].appl/Number of packets from this anchor,ieee802154Narrow.anchor[21].appl/Number of packets from this anchor,ieee802154Narrow.anchor[22].appl/Number of packets from this anchor,ieee802154Narrow.anchor[23].appl/Number of packets from this anchor,ieee802154Narrow.anchor[24].appl/Number of packets from this anchor
346.88,0,1,4,3,1,1,8,8,9,3,2,8,12,10,3,3,5,6,4,2,1,2,2,2,0
349.3,0,2,4,3,1,1,8,8,9,3,2,9,12,9,2,3,5,7,4,2,1,2,2,2,0
351.72,0,3,4,3,1,1,8,8,9,3,2,9,12,9,2,3,5,7,4,2,1,2,2,2,0
354.14,0,3,4,3,1,1,8,8,9,2,2,9,12,8,2,3,4,7,4,2,1,2,2,2,0
356.56,0,3,4,2,1,1,9,8,9,2,2,9,12,8,2,3,4,6,4,2,1,2,2,2,0
358.98,0,3,4,2,1,2,9,8,8,2,2,9,12,8,2,3,4,6,4,2,1,2,2,2,0
361.4,0,3,4,2,1,3,9,9,8,2,2,9,12,8,3,3,4,6,4,2,1,2,2,2,1
363.82,0,4,5,2,1,3,9,9,8,2,2,9,12,8,3,3,4,6,4,2,1,2,2,2,1
366.24,0,3,5,4,1,3,9,9,8,2,2,9,12,8,3,3,5,6,4,2,1,2,1,2,1
368.66,0,3,5,4,1,2,9,9,7,2,2,8,12,8,3,3,5,5,5,2,1,2,1,2,1
371.08,0,3,5,4,1,2,9,9,8,2,2,8,12,8,3,3,5,5,5,2,1,2,1,2,1
373.5,0,4,5,4,1,2,8,9,8,2,2,8,13,8,3,3,5,5,5,2,1,2,1,2,1
375.92,0,4,5,4,1,2,7,9,8,2,2,7,13,8,3,3,5,5,5,2,1,2,1,2,1
378.34,1,4,5,4,1,2,6,9,8,2,2,7,14,8,3,3,5,5,5,2,1,3,1,2,1
380.76,1,4,5,4,0,2,6,8,8,2,2,8,12,8,3,3,5,5,5,2,1,3,1,2,1
383.18,1,3,5,5,0,2,6,8,8,3,2,8,11,9,3,3,5,5,5,2,1,3,2,2,1
385.6,1,3,5,4,0,2,6,8,8,3,2,9,11,9,3,3,5,5,5,2,1,2,2,2,1
388.02,1,3,5,4,0,2,5,8,8,3,2,8,11,9,5,3,5,5,5,2,1,2,2,2,1
390.44,1,3,5,4,0,2,5,8,8,4,2,8,11,9,5,3,5,5,5,2,1,2,2,2,0
392.86,1,3,5,4,0,2,5,8,8,4,2,8,11,9,5,3,5,6,5,2,1,2,2,1,0
395.28,1,3,6,3,0,2,5,8,8,4,2,8,11,9,4,3,5,6,5,2,1,2,3,1,0
397.7,1,3,6,3,0,2,5,8,8,4,2,8,11,9,4,3,5,6,5,2,1,3,4,1,0
400.12,1,3,6,3,0,2,5,9,8,4,2,8,11,10,4,3,5,7,5,3,1,3,4,0,0
402.54,1,3,5,3,0,2,5,8,7,4,1,7,11,9,4,3,6,7,5,3,1,3,4,0,0
404.96,1,2,5,3,0,2,5,8,7,3,1,7,10,9,4,3,6,7,5,3,1,3,4,0,0
407.38,1,2,5,3,0,3,6,8,7,3,1,7,10,9,4,3,6,7,5,2,1,3,3,0,0
409.8,2,2,5,3,1,3,6,7,7,3,1,6,10,9,4,3,5,7,5,2,1,3,3,0,0
412.22,2,2,4,3,1,3,6,7,7,3,1,6,11,9,4,3,5,7,6,2,1,3,3,0,0
414.64,2,2,4,2,1,3,6,7,8,2,1,7,11,9,4,3,5,7,6,2,1,3,3,0,0
417.06,2,2,3,1,1,3,5,8,7,2,1,7,10,9,4,3,5,8,7,2,1,3,3,0,1
419.48,2,2,3,1,1,3,5,8,6,2,1,7,10,9,5,3,5,8,7,2,1,3,3,1,1
421.9,2,2,3,1,1,3,5,8,6,2,1,7,9,9,4,3,5,8,7,2,1,3,3,1,1
424.32,2,2,3,1,1,3,5,8,6,2,1,8,9,9,4,3,6,8,7,2,1,3,3,1,1
426.74,2,2,3,1,1,3,5,8,5,2,1,7,9,9,4,2,6,9,7,2,1,3,3,2,1
429.16,2,2,3,1,1,3,5,8,5,2,1,7,10,8,4,2,6,9,7,2,1,3,3,2,1
431.58,2,2,4,1,1,3,5,8,5,2,1,7,10,8,4,2,6,9,7,3,0,3,3,2,2
434,2,2,4,1,1,2,5,8,5,2,1,7,9,9,4,2,7,9,7,3,0,3,3,2,2
436.42,2,2,4,1,1,2,5,6,5,2,1,7,9,9,4,2,7,9,7,3,0,2,3,3,2
438.84,2,2,4,1,1,2,5,7,5,2,1,8,9,10,4,2,7,9,7,3,0,2,4,3,2
441.26,2,3,4,1,1,2,5,7,4,3,1,8,9,9,4,1,7,9,7,3,0,2,4,3,2
443.68,2,3,4,1,1,2,5,7,4,3,1,8,9,9,4,1,7,8,8,3,0,2,4,3,2
446.1,2,3,4,1,1,2,5,7,3,3,1,8,9,9,4,1,7,7,8,3,0,2,4,4,2
448.52,2,3,4,1,1,2,5,7,3,3,1,7,9,9,4,1,7,7,9,3,0,2,4,4,2
450.94,2,3,4,1,1,3,4,7,3,3,2,7,10,8,4,1,7,7,10,3,0,2,3,4,2
453.36,2,3,3,1,1,3,3,8,3,3,2,8,10,8,4,1,7,7,10,3,0,2,3,4,2
455.78,2,3,3,1,1,3,3,7,3,3,3,8,10,8,4,1,7,8,10,3,0,2,3,4,2
458.2,2,3,2,1,1,3,3,7,3,3,2,8,10,8,4,1,7,8,10,3,0,3,3,4,2
460.62,2,3,2,1,0,3,3,7,3,3,2,8,10,9,5,1,7,9,10,3,0,3,5,4,2
463.04,2,3,2,1,0,3,3,7,3,3,2,8,10,9,5,1,6,9,10,2,0,3,6,4,2
465.46,2,3,1,1,0,3,3,7,4,3,2,8,11,9,5,0,6,9,9,2,0,3,6,4,2
467.88,2,3,1,2,0,3,3,7,4,3,2,8,12,9,5,0,6,9,9,3,0,3,6,5,2
470.3,1,3,1,2,0,3,3,7,4,3,2,8,12,9,5,0,5,9,10,3,0,3,6,5,2
472.72,0,3,1,2,0,3,3,7,4,3,2,8,13,9,5,0,4,9,10,3,0,3,6,5,2
475.14,0,3,1,2,1,3,3,7,4,3,2,8,12,9,5,0,4,9,10,3,0,4,7,5,2
477.56,0,3,1,2,1,3,3,7,4,2,2,8,12,9,5,0,4,9,10,3,0,4,7,6,2
479.98,0,3,1,1,1,2,3,7,4,2,2,7,11,9,5,0,4,9,10,3,0,3,7,6,2
482.4,0,2,1,1,1,2,3,7,5,2,2,7,11,9,4,0,4,9,11,3,0,3,7,6,3
